Day,Species,Low Temperature (F),High Temperature (F),Co2 (%),Nitrogen (%),Dependent Animals Count,Deforestation (0/1),Snow (mm),Precipitation (mm),Noise Level (dB),Vistors Count,Transition
261,Grey Wolve,37,68,80,55,25500,0,0,2,33,18000,0
262,Grey Wolve,37,68,80,55,25500,0,0,0,29,24000,0
263,Grey Wolve,37,68,82,54,25500,0,2,0,24,22000,0
264,Grey Wolve,37,68,79,53,25500,0,5,0,40,26000,0
265,Grey Wolve,37,68,78,55,25500,0,3,0,30,24000,0
266,Grey Wolve,37,68,80,54,25500,0,0,0,21,12500,0
267,Grey Wolve,37,68,81,55,25500,0,2,8,34,11000,0
268,Grey Wolve,37,68,79,54,25500,0,1,4,21,10500,0
269,Grey Wolve,37,68,80,55,25500,0,0,0,21,11000,0
270,Grey Wolve,37,68,81,53,25500,0,2,2,31,12000,0
271,Grey Wolve,29,55,78,55,25500,0,3,0,31,10000,0
272,Grey Wolve,29,55,78,54,25500,0,4,0,30,9500,0
273,Grey Wolve,29,55,77,55,25500,0,3,0,30,11000,0
274,Grey Wolve,29,55,81,53,25500,0,6,0,32,12000,0
275,Grey Wolve,29,55,80,55,25500,0,1,0,35,24000,0
276,Grey Wolve,29,55,80,55,25500,0,0,0,30,22000,0
277,Grey Wolve,29,55,82,54,25500,0,1,3,20,26000,0
278,Grey Wolve,29,55,79,53,25500,0,4,6,30,24000,1
279,Grey Wolve,29,55,78,55,25500,0,3,0,30,12000,0
280,Grey Wolve,29,55,80,54,25500,0,3,0,20,10000,0
281,Grey Wolve,29,55,81,55,25500,0,6,0,30,13000,0
282,Grey Wolve,29,55,79,54,25500,0,3,5,30,14000,0
283,Grey Wolve,29,55,80,55,25500,1,1,4,35,12000,0
284,Grey Wolve,29,55,81,53,25500,0,0,0,30,12000,0
285,Grey Wolve,29,55,78,55,25500,0,3,0,30,14000,0
286,Grey Wolve,29,55,78,54,25500,0,2,0,33,10000,0
287,Grey Wolve,29,55,77,55,25500,0,3,0,29,9000,0
288,Grey Wolve,29,55,81,53,25500,0,4,0,30,11000,0
289,Grey Wolve,29,55,80,55,25500,0,3,0,21,12000,0
290,Grey Wolve,29,55,80,55,25500,0,6,1,30,12000,0
291,Grey Wolve,29,55,82,54,25500,0,1,2,33,13000,0
292,Grey Wolve,19,38,79,53,25500,0,0,0,29,14000,0
293,Grey Wolve,19,38,78,55,25500,0,1,0,24,15000,0
294,Grey Wolve,19,38,80,54,25500,0,4,0,40,12000,0
295,Grey Wolve,19,38,81,55,25500,0,3,0,30,12000,0
296,Grey Wolve,19,38,79,54,25500,0,3,0,21,13000,0
297,Grey Wolve,19,38,80,55,25500,0,6,8,34,12000,0
298,Grey Wolve,19,38,81,53,25500,0,3,4,21,10000,0
299,Grey Wolve,19,38,78,55,25500,0,1,0,21,13000,0
300,Grey Wolve,19,38,78,54,25500,0,0,2,31,14000,0
301,Grey Wolve,19,38,77,55,25500,0,3,0,20,12000,0
302,Grey Wolve,19,38,81,53,25500,0,4,0,31,12000,0
303,Grey Wolve,19,38,80,55,25500,0,1,0,30,14000,0
304,Grey Wolve,19,38,80,55,25500,0,5,0,30,10000,0
305,Grey Wolve,19,38,82,54,25500,0,8,0,32,9000,0
306,Grey Wolve,19,38,79,53,25500,0,10,0,35,11000,0
307,Grey Wolve,19,38,78,55,25500,0,18,3,30,12000,0
308,Grey Wolve,19,38,80,54,25500,0,30,6,20,12000,0
309,Grey Wolve,19,38,81,55,25500,0,10,0,30,13000,0
310,Grey Wolve,19,38,79,54,25500,0,40,0,30,1000,0
311,Grey Wolve,19,38,80,55,25500,0,20,0,20,1200,0
312,Grey Wolve,19,38,81,53,25500,0,31,5,30,500,0
313,Grey Wolve,19,38,78,55,25500,0,21,4,30,600,0
314,Grey Wolve,19,38,78,54,25500,0,9,0,35,200,0
315,Grey Wolve,19,38,77,55,25500,0,0,0,30,600,0
316,Grey Wolve,19,38,81,53,25500,0,11,0,30,750,0
317,Grey Wolve,19,38,80,55,25500,0,45,0,33,150,0
318,Grey Wolve,11,30,80,55,25500,0,64,0,29,250,0
319,Grey Wolve,11,30,82,54,25500,0,0,0,30,500,0
320,Grey Wolve,11,30,79,53,25500,0,0,1,21,900,0
321,Grey Wolve,11,30,78,55,24000,0,11,2,30,1200,0
322,Grey Wolve,11,30,80,54,24000,0,35,0,33,500,0
323,Grey Wolve,11,30,81,55,24000,0,45,0,29,600,0
324,Grey Wolve,11,30,79,54,24000,0,12,0,24,200,0
325,Grey Wolve,11,30,80,55,24000,0,12,0,40,600,0
326,Grey Wolve,11,30,81,53,24000,0,67,0,30,750,0
327,Grey Wolve,11,30,78,55,24000,0,4,8,21,450,0
328,Grey Wolve,11,30,78,54,24000,0,5,4,34,250,0
329,Grey Wolve,11,30,77,55,24000,0,23,0,21,500,0
330,Grey Wolve,11,30,81,53,24000,0,34,2,21,900,1
331,Grey Wolve,11,30,80,55,24000,0,32,0,31,1200,0
332,Grey Wolve,11,30,80,55,24000,0,23,0,31,500,0
333,Grey Wolve,11,30,82,54,24000,0,23,0,30,600,0
334,Grey Wolve,11,30,79,53,24000,0,5,0,30,200,0
335,Grey Wolve,11,30,78,55,24000,0,0,30,32,600,0
336,Grey Wolve,11,30,80,54,24000,0,12,10,35,750,0
337,Grey Wolve,11,30,81,55,24000,0,16,40,30,150,0
338,Grey Wolve,27,58,79,54,24000,0,20,20,20,250,0
339,Grey Wolve,27,58,80,55,24000,0,35,31,30,500,0
340,Grey Wolve,27,58,81,53,24000,0,22,21,30,900,0
341,Grey Wolve,27,58,78,55,24000,0,56,9,20,1200,0
342,Grey Wolve,27,58,78,54,24000,0,34,0,30,500,0
343,Grey Wolve,27,58,77,55,24000,0,45,11,30,600,0
344,Grey Wolve,27,58,81,53,24000,0,100,45,35,200,0
345,Grey Wolve,27,58,80,55,24000,0,150,64,30,600,0
346,Grey Wolve,27,58,80,55,24000,0,120,0,30,750,0
347,Grey Wolve,27,58,82,54,24000,0,100,0,33,150,0
348,Grey Wolve,27,58,79,53,24000,0,110,11,29,250,0
349,Grey Wolve,27,58,78,55,24000,0,70,35,30,500,0
350,Grey Wolve,27,58,80,54,24000,0,170,45,21,1900,0
351,Grey Wolve,27,58,81,55,24000,0,90,12,30,1200,0
352,Grey Wolve,27,58,79,54,24000,0,40,12,33,500,0
353,Grey Wolve,27,58,80,55,24000,0,30,67,29,600,0
354,Grey Wolve,27,58,81,53,24000,0,40,4,24,200,0
355,Grey Wolve,27,58,78,55,24000,0,100,5,40,600,0
356,Grey Wolve,27,58,78,54,24000,0,77,23,30,1750,0
357,Grey Wolve,27,58,77,55,24000,0,67,34,21,150,0
358,Grey Wolve,27,58,81,53,24000,0,50,32,34,250,1
359,Grey Wolve,27,58,80,55,24000,0,64,23,21,500,0
360,Grey Wolve,27,58,80,55,24000,0,30,23,21,900,0
361,Grey Wolve,27,58,82,54,24000,0,44,5,31,1200,0
362,Grey Wolve,27,58,79,53,24000,0,65,0,20,500,0
363,Grey Wolve,27,58,78,55,24000,0,37,12,21,600,0
364,Grey Wolve,27,58,80,54,24000,0,45,16,20,200,0
365,Grey Wolve,27,58,81,55,24000,0,20,10,25,600,0
